title,videoIDS,video_description,publishedDate
Introduction to Scilab,K78LMv9spKM,"Ms. Milka J. Jagale
Assistant Professor
Mechanical Engineering Department
WALCHAND INSTITUTE OF TECHNOLOGY, SOLAPUR",2019-02-14T06:25:07Z
Fuel Systems in S  I  Engines-III,mg50CBmfD14,"Dr. Prakash V. Salunke
Associate Professor,
Dept. of Mechanical Engg.
Walchand Institute of Technology, Solapur.",2019-02-14T06:09:06Z
Fuel Systems in S  I  Engines-II,06Eu40J-w2I,"Dr. Prakash V. Salunke
Associate Professor,
Dept. of Mechanical Engg.
Walchand Institute of Technology, Solapur.",2019-02-14T06:03:18Z
Fuel Systems in S  I  Engines- I,Iyeqqw3aG2g,"Dr. Prakash V. Salunke
Associate Professor,
Dept. of Mechanical Engg.
Walchand Institute of Technology, Solapur.",2019-02-14T05:57:50Z
Valve Timing Diagrams in Internal Combustion  Engines- II,ZszsOzsfnaQ,"Dr. Prakash V. Salunke
Associate Professor,
Dept. of Mechanical Engg.
Walchand Institute of Technology, Solapur.",2019-02-14T05:50:08Z
Valve Timing Diagrams in Internal Combustion  Engines-I,dmY2mMjF3Ys,"Dr. Prakash V. Salunke
Associate Professor,
Dept. of Mechanical Engg.
Walchand Institute of Technology, Solapur.",2019-02-14T05:41:58Z
Moving Target Indicator (MTI) Radar,NUKlckVB5XM,"Dr.Rupali J.Shelke
Associate Professor 
Department of Electronics Engg.
Walchand Institute of Technology ,Solapur",2019-02-14T05:23:38Z
Continuous Radar System,LomqBVYbMUQ,"Dr.Rupali J.Shelke
Associate Professor 
Department of Electronics Engg.
Walchand Institute of Technology ,Solapur",2019-02-14T05:19:05Z
Pulse Radar System,_2ASabpZWDk,"Dr.Rupali J.Shelke
Associate Professor
Department of Electronics Engg.
Walchand Institute of Technology,Solapur",2019-02-14T05:15:43Z
Radar Range Equation,sQZU1wRXqw4,"Dr.Rupali J.Shelke
Associate  Professor 
Department of Electronics Engg.
Walchand Institute of Technology,Solapur",2019-02-14T05:09:12Z
Introduction to Radar System,coEauWqyrc8,"Dr.Rupali J.Shelke
Associate Professor
Department of Electronics Engg.
Walchand Institute of Technology ,Solapur",2019-02-14T05:02:17Z
Projection of Solids -III,YtMy2jrJaGY,"Mr. D. J. Doshi,
Assistant Professor, 
Department- Mechanical Engineering,
Walchand Institute of Technology, Solapur",2019-02-13T04:53:17Z
Projection of Solids -II,Y1z_wqXXR10,"Mr. D. J. Doshi,
Assistant Professor, 
Department- Mechanical Engineering,
Walchand Institute of Technology, Solapur",2019-02-13T04:53:11Z
Projection of  Solids -I,w18adS4wcFs,"Mr. D. J. Doshi,
Assistant Professor, 
Department- Mechanical Engineering,
Walchand Institute of Technology, Solapur",2019-02-13T04:45:24Z
Introduction to Solids -II,NEA59L1shVg,"Mr. D. J. Doshi,
Assistant Professor, 
Department- Mechanical Engineering,
Walchand Institute of Technology, Solapur",2019-02-13T04:41:11Z
Introduction to Solids -I,gDgecJ4MxhA,"Mr. D. J. Doshi,
Assistant Professor, 
Department- Mechanical Engineering,
Walchand Institute of Technology, Solapur",2019-02-13T04:38:24Z
Projection of Rectangular Plane,TdBrSMVTyes,"Mr. R.B.Patil,
Assistant Professor, 
Department- Mechanical Engineering,
Walchand Institute of Technology, Solapur",2019-02-13T04:35:49Z
Projection of Triangular Plane,iV4c3yBOMU0,"Mr. R.B.Patil,
Assistant Professor, 
Department- Mechanical Engineering,
Walchand Institute of Technology, Solapur",2019-02-13T04:33:39Z
Projection of Rhombus,SG0K7yQszyM,"Mr. R.B.Patil,
Assistant Professor, 
Department- Mechanical Engineering,
Walchand Institute of Technology, Solapur",2019-02-13T04:30:38Z
Projection of Plane-III,5qMvq68Ob6E,"Mr. P. V. Ekhande,
Assistant Professor, 
Department- Mechanical Engineering,
Walchand Institute of Technology, Solapur",2019-02-13T04:20:52Z
Projection of Planes -II,g3Jves-lYc4,"Mr. P. V. Ekhande,
Assistant Professor, 
Department- Mechanical Engineering,
Walchand Institute of Technology, Solapur",2019-02-13T04:12:00Z
ARM processor modes and states,-Pl7jeERhfk,"Dr. R.R. Mergu
Associate Professor
E&TC Department
WIT Solapur",2019-02-11T11:44:34Z
ARM core registers,8MmD08d9o54,"Dr. R.R. Mergu
Associate Professor
E&TC Department
WIT Solapur",2019-02-11T11:40:19Z
ARM core Data flow model,lKM1NFpz7fI,"Dr. R.R. Mergu
Associate Professor
E&TC Department
WIT Solapur",2019-02-11T11:38:40Z
Software Architecture of ES,IgQ78Btg3y0,"Dr. R.R. Mergu
Associate Professor
E&TC Department
WIT Solapur",2019-02-11T11:35:59Z
Hardware Architecture of ES,lCnf0vSGhiI,"Dr. R.R. Mergu
Associate Professor
E&TC Department
WIT Solapur",2019-02-11T11:31:04Z
High Performance Concrete,xZW4mZtOSSk,"Mr. C.G. Konapure
Assistant Professor, 
Deptt. Of Civil Engg.
WIT, Solapur",2019-02-08T12:28:55Z
High strength Concrete,b4h-0r-88Nc,"Mr. C.G. Konapure
Assistant Professor, 
Deptt. Of Civil Engg.
WIT, Solapur",2019-02-08T12:23:47Z
Self compacting concrete,nT18F2ZjLLI,"Mr. C.G. Konapure
Assistant Professor, 
Deptt. Of Civil Engg.
WIT, Solapur",2019-02-08T12:15:00Z
High Volume Fly ash concrete,gfVAGh9NLhM,"Mr. C.G. Konapure
Assistant Professor, 
Deptt. Of Civil Engg.
WIT, Solapur",2019-02-08T12:08:01Z
Fiber reinforced Concrete,o2hrb0_5XYM,"Mr. C.G. Konapure
Assistant Professor, 
Deptt. Of Civil Engg.
WIT, Solapur",2019-02-08T12:01:49Z
UML: Activity Diagram.,xKTZurpp2qU,"Mrs. Shrutali V Narkar 
Assistant Professor,
Department of Information Technology,
Walchand Institute of Technology, Solapur.",2019-02-08T11:59:19Z
UML :  Collaboration diagram,1DGvVDWmHO0,"Mrs. Shrutali V Narkar 
Assistant Professor,
Department of Information Technology,
Walchand Institute of Technology, Solapur.",2019-02-08T11:54:56Z
UML:Sequence diagrams.,Xhq7Iaqo_qQ,"Mrs. Shrutali V Narkar 
Assistant Professor,
Department of Information Technology,
Walchand Institute of Technology, Solapur.",2019-02-08T11:52:18Z
Steady State Heat Conduction-V,QN31T11hUBg,"Mr. S.N.Kulkarni 
Assistant professor 
Department of Mechanical Engineering 
Walchand institute of technology, Solapur",2019-02-08T11:44:51Z
UML:Use case diagram & Interaction Diagrams,iEdQEhNXOwc,"Mrs. Shrutali V Narkar 
Assistant Professor,
Department of Information Technology,
Walchand Institute of Technology, Solapur.",2019-02-08T11:47:43Z
Unified Modeling Language: Class Diagram & Object Diagram,LadMohu5S0s,"Mrs. Shrutali V Narkar 
Assistant Professor,
Department of Information Technology,
Walchand Institute of Technology, Solapur.",2019-02-08T11:37:58Z
Steady State Heat Conduction-IV,TAR6zl78D7Y,"Mr. S.N.Kulkarni 
Assistant professor 
Department of Mechanical Engineering 
Walchand institute of technology, Solapur",2019-02-08T11:36:41Z
Steady State Heat Conduction-III,QByCbCR0S5s,"Mr. S.N.Kulkarni 
Assistant professor 
Department of Mechanical Engineering 
Walchand institute of technology, Solapur",2019-02-08T11:29:31Z
Steady State Heat Conduction-II,62ibp19Q6ec,"Mr. S.N.Kulkarni 
Assistant professor 
Department of Mechanical Engineering 
Walchand institute of technology, Solapur",2019-02-08T11:22:09Z
Steady State Heat Conduction-I,5tdNdeSUknY,"Mr. S.N.Kulkarni 
Assistant professor 
Department of Mechanical Engineering 
Walchand institute of technology, Solapur",2019-02-08T11:15:25Z
Setting Out of Vertical Curves,Y_oou4sh3RQ,"Mr.Shashikant Buvasaheb Gosavi
Assistant Professor
Civil Engineering Department
Walchand Institute of Technology, Solapur",2019-02-07T11:16:23Z
Static indeterminacy of frames and trusses,jZ0zz_cQp-Q,"Dr. M.G.Kalyanshetti
Associate Professor
Department of Civil Engineering
Walchand Institute of Technology, Solapur",2019-02-07T11:04:27Z
Requirements of Good Quality Concrete,1-evd8pR_TI,"Mr. S K Kulkarni
Assistant Professor 
Department of Civil Engineering,
Walchand Institute of Technology, Solapur",2019-02-07T10:55:39Z
Properties of Building Materials from Selection Point of View for Construction,R8r7MFP2AF8,"Mr. S K Kulkarni
Assistant Professor 
Department of Civil Engineering,
Walchand Institute of Technology, Solapur",2019-02-07T10:50:27Z
Method of Finding Missing Entries in a Page of Level Book- Rise and Fall Method,d3U7VNHyNUU,"Mr. S K Kulkarni
Assistant Professor 
Department of Civil Engineering,
Walchand Institute of Technology, Solapur",2019-02-07T10:40:53Z
Method of Finding Missing Entries in a Page of Level Book- Collimation Plane Method,5vMacyB6uxg,"Mr. S K Kulkarni
Assistant Professor  
Department of Civil Engineering, 
Walchand Institute of Technology, Solapur",2019-02-07T10:35:54Z
Leveling - Need for  Inverted staff Readings and Precautions in Calculations of reduced levels,OcwyYVDePq0,"Mr. S K Kulkarni
Assistant Professor 
Department of Civil Engineering,
Walchand Institute of Technology, Solapur",2019-02-07T10:23:50Z
Priority Queue & DeQue,ddH9nQX8VJY,"Mr. R.R. Konapure
Assistant Professor
Electronics &Telecommunication Engineering
Walchand Institute of Technology, Solapur",2019-02-06T12:41:45Z
Conversion Context Free Grammar to Chomsky Normal Form,iI9hwS5Oq8U,"Mrs. Sharmila K Karpe 
Assistant Professor 
Department of Information Technology, 
Walchand Institute of Technology, Solapur.",2019-02-06T12:34:02Z
Conversion Context Free Grammar to Chomsky Normal Form,O1La67PNgI0,"Mrs. Sharmila K Karpe 
Assistant Professor 
Department of Information Technology, 
Walchand Institute of Technology, Solapur.",2019-02-06T12:30:18Z
System Calls for the File System : Part 1,tmp7dGJuyLQ,"Mr.Pravin N.Kathavate
Assistant Professor
Department of Information Technology
Walchand Institute of Technology, Solapur.",2019-02-06T12:23:41Z
Context Free Grammar and Derivation trees,f4zz-dGynAw,"Mrs. Sharmila K Karpe 
Assistant Professor 
Department of Information Technology, 
Walchand Institute of Technology, Solapur.",2019-02-06T12:18:38Z
Memory Management Policies,Y8xF-V5_DCQ,"Mr. Pravin N Kathavate
Assistant Professor 
Department of Information Technology, 
Walchand Institute of Technology, Solapur.",2019-02-06T11:07:58Z
Memory Management Policies,64AhcX6LIsk,"Mr. Pravin N Kathavate
Assistant Professor 
Department of Information Technology, 
Walchand Institute of Technology, Solapur.",2019-02-06T11:03:27Z
System Calls for the File System : Part - 3,gUM_KSs6zHI,"Mr. Pravin N Kathavate
Assistant Professor 
Department of Information Technology, 
Walchand Institute of Technology, Solapur.",2019-02-06T10:59:31Z
System Calls for the File System : Part - 2,jsozu-FXKRQ,"Mr. Pravin N Kathavate
Assistant Professor 
Department of Information Technology, 
Walchand Institute of Technology, Solapur.",2019-02-06T10:42:17Z
Graph Traversal Algorithm - Depth First Search (DFS),JPdkRqIc1kA,"In this lecture we will be discussing about graph traversal using depth first search method.

Mrs. Trupti S Indi 
Assistant Professor 
Department of Information Technology, 
Walchand Institute of Technology, Solapur.",2019-02-06T10:10:57Z
Graph Traversal Algorithm - Implementation of Breadth First Search (BFS),w9r0Q5-kRww,"In this lecture, we will be discussing about the implementation of graph traversal using breadth first search approach

Mrs. Trupti S Indi 
Assistant Professor 
Department of Information Technology, 
Walchand Institute of Technology, Solapur.",2019-02-06T10:05:19Z
Graph Traversal Algorithms - Breadth First Search (BFS),VjudUBuOtp4,"In this lecture we will be discussing about graph traversal using breadth-first search method.


Mrs. Trupti S Indi 
Assistant Professor 
Department of Information Technology, 
Walchand Institute of Technology, Solapur.",2019-02-06T09:59:15Z
Representation of Graphs,D3LaeuDwfaM,"In this lecture, we will be discussing about adjacency matrix and adjacency list representation for graph data structure in computer memory.

Mrs. Trupti S Indi 
Assistant Professor 
Department of Information Technology, 
Walchand Institute of Technology, Solapur.",2019-02-06T09:55:15Z
Introduction to Graphs,MqKcu-FxAqU,"In this lecture, we will be discussing about the Graph data structure, need of graph, graph terminology and types of  Graphs.


Mrs. Trupti S Indi 
Assistant Professor 
Department of Information Technology, 
Walchand Institute of Technology, Solapur.",2019-02-06T09:45:10Z
Cauchy Riemann Equations Part III,XncaiNJaSi8,"Mr.  A S Falmari
Assistant Professor 
Deparment of Humanities and Sciences
Walchand Institute of Technology , Solapur",2019-02-06T05:23:05Z
Cauchy Riemann Equations Part II,R6-MeQbLRwA,"Mr.  A S Falmari
Assistant Professor 
Deparment of Humanities and Sciences
Walchand Institute of Technology , Solapur",2019-02-06T05:20:04Z
Cauchy Riemann Equations Part I,U_YgOaY29Q0,"Mr.  A S Falmari
Assistant Professor 
Deparment of Humanities and Sciences
Walchand Institute of Technology , Solapur",2019-02-06T05:15:44Z
L U Decomposition Method,g_aswj2adgE,"Dr. B M Biradar
Assistant Professor 
Department of Humanities and Sciences 
Walchand  Institute of Technology, Solapur.",2019-02-06T05:09:30Z
THREE PHASE TRANSFORMER,JeMnTBpxbQ0,"Mrs.Veena Sunil Patki
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology,Solapur",2019-02-06T04:28:23Z
ARM7 Assembly Programming,0lhXJ9Lj5kE,"Mr. Chavan R. N. 
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology, Solapur",2019-02-06T04:25:43Z
UNIVERSAL MOTOR,4RivwVk92tk,"Mrs.Veena Sunil Patki
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology,Solapur",2019-02-06T04:23:04Z
ARM Assembler Directives,FCh4LYnCr7E,"Mr. Chavan R. N. 
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology, Solapur",2019-02-06T04:20:48Z
THREE PHASE POWER MEASUREMENT,mBu108xC9-M,"Mrs.Veena Sunil Patki
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology,Solapur",2019-02-06T04:17:56Z
ARM7 Addressing Modes,OgOnFDOXB1k,"Mr. Chavan R. N. 
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology, Solapur",2019-02-06T04:15:49Z
CHARACTERISTICS OF DC MOTOR AND SPEED CONTROL,bIFDsWmSfI8,"Mrs.Veena Sunil Patki
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology,Solapur",2019-02-06T04:13:56Z
ARM7 Load Store Instructions,0inDi0B8_GQ,"Mr. Chavan R. N. 
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology, Solapur",2019-02-06T04:10:21Z
CONSTRUCTION OF DC MOTOR,OPk_yyMM7CM,"Mrs.Veena Sunil Patki
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology,Solapur",2019-02-06T04:07:57Z
ARM7 Data Processing Instructions,7C3CDPi38CI,"Mr. Chavan R. N. 
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology, Solapur",2019-02-06T04:04:03Z
Setting Out Compound Curve,yxtRDvdTF_w,"Mr.Shashikant Buvasaheb Gosavi
Assistant Professor
Civil Engineering Department
Walchand Institute of Technology, Solapur",2019-02-06T03:48:58Z
Setting of Simple Circular Curves by Rankines Method of Deflection Angles,iciXFG7t4gk,"Mr.Shashikant Buvasaheb Gosavi
Assistant Professor
Civil Engineering Department
Walchand Institute of Technology, Solapur",2019-02-06T03:40:47Z
Multivibrator : Basic Configuration,0_hjzOdy94s,"Mrs.V.S.Kulkarni,
Assistant Professor,
WIT,Solapur",2019-02-05T09:55:38Z
Industrial & Quality Management Process Capability for Variables,pG3nZ2Q-I9Q,"Mr. S. R. Dulange
Associate Professor
Department of Mechanical Engineering
Walchand Institute of Technology, Solapur",2019-02-05T04:46:24Z
Industrial & Quality Management Control Charts for Variables,lBVWgESqVik,"Mr. S. R. Dulange
Associate Professor
Department of Mechanical Engineering
Walchand Institute of Technology, Solapur",2019-02-05T04:40:38Z
Industrial & Quality Management Cost of Quality,nbRbnocCKHE,"Mr. S. R. Dulange
Associate Professor
Department of Mechanical Engineering
Walchand Institute of Technology, Solapur",2019-02-05T04:36:52Z
Industrial and Quality Management Dimensions of Quality,iHPTWTICvEU,"Mr. S. R. Dulange
Associate Professor
Department of Mechanical Engineering
Walchand Institute of Technology, Solapur",2019-02-05T04:31:32Z
Industrial and Quality Management Acceptance sampling plans,TdAimBiLOgA,"Mr. S. R. Dulange
Associate Professor
Department of Mechanical Engineering
Walchand Institute of Technology, Solapur",2019-02-05T04:25:44Z
2 AWS Account Settings,X1Pxh-Dql44,"Mr. V.A.Bingi
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur",2019-02-05T03:23:50Z
1 AWS,lVXymoUiT7A,"Mr. V .A. Bingi
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur",2019-02-05T03:16:11Z
Service,EsYbVI_JveQ,"Mr. D. P. Gandhmal
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur",2019-02-05T03:11:00Z
Intents,Aos7iKDci1I,"Mr. D. P. Gandhmal
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur",2019-02-05T03:05:59Z
Heat Exchanger Design NTU Approach for Parallel Flow,Rt-h_aG9D0Q,"Mr.G.B.Agalave
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",2019-02-04T10:15:15Z
Heat Exchanger Numericals,Krq0LD265mg,"Mr.G.B.Agalave
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",2019-02-04T10:07:07Z
Heat Exchanger Design using  LMTD  approach for Counter flow,jFPnWqEge-M,"Mr.G.B.Agalave
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",2019-02-04T09:59:13Z
FragmentLifeCycle,JI7LDPkracQ,"Mr. D. P. Gandhmal
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur",2019-02-04T09:58:57Z
Heat Exchanger Design using  LMTD  approach for Parallel flow,xk4-SNInOY4,"Mr.G.B.Agalave
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",2019-02-04T09:51:48Z
ActivityLifeCycle,A2-lwSoocrc,"Mr. D. P. Gandhmal
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur",2019-02-04T09:54:13Z
Layouts,zWdl9TTH6mM,"Mr. D. P.  Gandhmal
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur",2019-02-04T09:47:35Z
INTRODUCTION to Heat Exchanger,UrWdWbc7HpY,"Mr.G.B.Agalave
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",2019-02-04T09:45:19Z
Agile Project Management (APM),s0mekPSA3BY,"Mr. Anil S Naik,
Assistant Professor
IT Department, Walchand Institute of Technology, Solapur",2019-02-04T09:47:00Z
Agile Scrum Methodology :Part 2,aeg3WTMEQVs,"Mr. Anil S Naik,
Assistant Professor
IT Department, Walchand Institute of Technology, Solapur",2019-02-04T09:43:00Z
Feature based Modeling,EbStg22qWPI,"Mr.P.G.Chitte
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",2019-02-04T09:38:40Z
Agile Scrum Methodology :Part 1,qSOt2x5SoYc,"Mr. Anil S Naik,
Assistant Professor
IT Department, Walchand Institute of Technology, Solapur",2019-02-04T09:38:43Z
Geometrical Modeling,p2_AJQqEmBI,"Mr.P.G.Chitte
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",2019-02-04T09:33:32Z
Agile overview: Agile Manifesto & Agile principles,MLclx-yUYDk,"Mr. Anil S Naik,
Assistant Professor
IT Department, Walchand Institute of Technology, Solapur",2019-02-04T09:28:03Z
Concatenation Method in Geometric Transformations,-1sy5gX2wWo,"Mr.P.G.Chitte
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",2019-02-04T09:28:29Z
Reasons for Agile Software Development: Problems of Traditional Software Development,MTh5GQj9tK0,"Mr. Anil S Naik,
Assistant Professor
IT Department, Walchand Institute of Technology, Solapur",2019-02-04T09:24:22Z
Numericals based on 2D Geometrical Transformation,zuFNqWb0qCM,"Mr.P.G.Chitte
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",2019-02-04T09:19:58Z
2D Geometrical Transformation,33H8OF2uMTE,"Mr.P.G.Chitte
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",2019-02-04T09:07:39Z
Buffer Scenario 4 5,zX2IjfzSM3Q,"Mr.R. R. Wagdarikar
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology Solapur",2019-02-04T04:42:46Z
Buffer scenario 4,AqTZBgPTzrM,"Mr.R. R. Wagdarikar
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology Solapur",2019-02-04T04:36:51Z
Buffer Scenario 1,QE5-z-a_iv0,"Mr.R. R. Wagdarikar
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology Solapur",2019-02-04T04:30:27Z
Buffer Scenario,u3weOS4LggI,"Mr.R. R. Wagdarikar
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology Solapur",2019-02-04T04:19:02Z
Buffer cache and Header,bMfAXE4-RHI,"Mr.R. R. Wagdarikar
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology Solapur",2019-02-04T04:10:28Z
Frequency for RT,Hq1M4xO_Flo,"Mr. Dayanand Patil,
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur",2019-02-04T03:34:34Z
Multiplexing,CGMEAj1tYc4,"Mr. Dayanand Patil,
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur",2019-02-04T03:30:04Z
Digital Modulations,kX_mJR6GZwU,"Mr. Dayanand Patil,
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur",2019-02-04T03:24:53Z
Introduction to WC,fTwPqb4ij7M,"Mr. Dayanand Patil,
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur",2019-02-04T03:19:07Z
Transition Diagrams for Lexical Analysis,Z0bfXOOWdRs,"Dr. Pratibha S. Yalagi,
Associate Professor,
Deaprtment of Computer Science and Engineering,
Walchand Institute of Technology, Solapur.",2019-02-01T06:37:03Z
Implementation of Transition Diagrams,_MIwoPvQSvk,"Dr. Pratibha S. Yalagi,
Associate Professor,
Deaprtment of Computer Science and Engineering,
Walchand Institute of Technology, Solapur.",2019-02-01T06:31:04Z
AO* Algorithm,oOlhTAs62gk,"Dr.L M R J Lobo
Associate Professor ,
Information Technology Department
Walchand Institute of Technology, Solapur",2019-02-01T05:15:20Z
A* Algorithm,G33Ss5nQPME,"Dr.L M R J Lobo
Associate Professor ,
Information Technology Department
Walchand Institute of Technology, Solapur",2019-02-01T05:12:04Z
Monotonic and Non Monotonic reasoning,4sfHKVr1CK4,"Dr.L M R J Lobo
Associate Professor ,
Information Technology Department
Walchand Institute of Technology, Solapur",2019-02-01T05:07:42Z
Genetic Algorithms,o8Hhq9P9MP4,"Dr.L M R J Lobo
Associate Professor ,
Information Technology Department
Walchand Institute of Technology, Solapur",2019-02-01T05:05:11Z
AI problem Characteristics,DgRVfUdR1KM,"Dr.L M R J Lobo
Associate Professor ,
Information Technology Department
Walchand Institute of Technology, Solapur",2019-02-01T05:00:05Z
Tell Me About Yourself,ot1JfvLTtJE,"Dr. S. V. Lakde
Assistant Professor
Department of Humanities and Sciences 
Walchand Institute of Technology, Solapur",2019-01-31T09:46:43Z
Personal Interview : FAQ - II,MLR0l7bg9S8,"Dr. S. V. Lakde
Assistant Professor
Department of Humanities and Sciences 
Walchand Institute of Technology, Solapur",2019-01-31T09:43:46Z
Personal Interview : FAQ -  I,UjtP7uqx8DE,"Dr. S. V. Lakde
Assistant Professor
Department of Humanities and Sciences 
Walchand Institute of Technology, Solapur",2019-01-31T09:39:18Z
Fluid Kinematics-I,ycA82ScZ4dA,"Mr.S. V. Katkur
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",2019-01-31T05:03:28Z
Bidirectional Power Devices-DIAC & TRIAC,aw9t2ppWDro,"Mr. Sunil C. Kalshetti
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology, Solapur",2019-01-30T10:46:22Z
Gate Turn Off Thyristor,gwWP4RWNHek,"Mr. Sunil C. Kalshetti
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology, Solapur",2019-01-30T10:42:46Z
Synchronous Counter,Mr7fPU-ClPk,"Mr. S. A. Utage
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology, Solapur.",2019-01-30T10:40:16Z
Insulated Gate Bipolar Junction Transistor,D_sHGaC2tb8,"Mr. Sunil C. Kalshetti
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology, Solapur",2019-01-30T10:39:00Z
Asynchronous Counter,AzvsEOG4l6s,"Mr. S. A. Utage
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology, Solapur.",2019-01-30T10:35:12Z
Enhancement Type MOSFET,wfZ25hvzYik,"Mr. Sunil C. Kalshetti
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology, Solapur",2019-01-30T10:34:47Z
Depletion Type MOSFET,WXMKInmQxuw,"Mr. Sunil C. Kalshetti
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology, Solapur",2019-01-30T10:28:44Z
Ring Counter: Application of shift Register,QmHS8mAjXjY,"Mr. S. A. Utage
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology, Solapur.",2019-01-30T10:26:53Z
Conversion of Flip flops,WvGfkwh-6ug,"Mr. S. A. Utage
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology, Solapur.",2019-01-30T10:22:33Z
Introduction to  Flip flops,AtW76qMxVSg,"Mr. S. A. Utage
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology, Solapur.",2019-01-30T10:16:35Z
Video Reception of Vestigial Sidband signals,NzHfDVvH_w4,"Mr.Pravin Yallappa Kumbhar
Assistant Professor
Department of Electronics & Telecommunication Engineering
Walchand Institute of Technology,Solapur",2019-01-30T03:56:38Z
MPEG (Moving Pictures Expert Group),EvkHcS5_79w,"Mr. Chandane E R
Assistant professor,
Department of Electronics Engineering,
Walchand Institute of Technology, Solapur",2019-01-30T03:58:16Z
Levels of Digitization,PDo1ldxMIo4,"Mr. Chandane E R
Assistant professor,
Department of Electronics Engineering,
Walchand Institute of Technology, Solapur",2019-01-30T03:55:55Z
Video Signal Transmission for Monochrome TV,csDhvEUYkdE,"Mr.Pravin Yallappa Kumbhar
Assistant Professor
Department of Electronics & Telecommunication Engineering
Walchand Institute of Technology,Solapur",2019-01-30T03:53:11Z
Digital Video Capture,L7hUzmDDuVQ,"Mr. Chandane E R
Assistant professor,
Department of Electronics Engineering,
Walchand Institute of Technology, Solapur",2019-01-30T03:54:02Z
Digital Audio Capture,DFrRiMSoZTM,"Mr. Chandane E R
Assistant professor,
Department of Electronics Engineering,
Walchand Institute of Technology, Solapur",2019-01-30T03:51:04Z
Vestigal Sideband Transmission,FvdomH0wlMk,"Mr.Pravin Yallappa Kumbhar
Assistant Professor
Department of Electronics & Telecommunication Engineering
Walchand Institute of Technology,Solapur",2019-01-30T03:48:41Z
Multimedia and Hypermedia,ljEtVO__bKk,"Mr. Chandane E R
Assistant professor,
Department of Electronics Engineering,
Walchand Institute of Technology, Solapur",2019-01-30T03:47:13Z
Interlaced Scanning,_kqw5RmOnAU,"Mr.Pravin Yallappa Kumbhar
Assistant Professor
Department of Electronics & Telecommunication Engineering
Walchand Institute of Technology,Solapur",2019-01-30T03:44:07Z
Composite Video Signal,ufxhrFCkIzE,"Mr.Pravin Yalappa Kumbhar
Assistant Professor
Department of Electronics & Telecommunication 
Walchand Institute of Technology,Solapur",2019-01-30T03:38:50Z
High Performance Concrete,4vYcmwP78aA,"Mr. Chetan G Konapure
Assistant Professor
Department of Civil Engineering
Walchand Institute of Technology
Solapur",2019-01-29T07:13:50Z
